Terme,Définition,Type,Sujet - court,Sujet long,Année,IDSujet,Sujet - long,Image
“chute” de l’empire romain d’Occident,"476, Romulus Augustule capitule devant Odoacre. Souvent utilisé pour borner le début du Moyen Âge.",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Al-Aghlab émir d'Ifriqyia,"800, al-Aghlab et ses descendants sont reconnus par le calife comme gouverneurs héréditaires de l’Ifriqyia. Ainsi, cette zone sert de tampon entre le Maghreb agité et le centre du califat",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Alaric pille Rome,410,Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
appel à la croisade par Urbain II,1095,Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
avènement d’Hugues Capet,987,Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Badr al-Jamali en Egypte,"1070, appelé par Al Mustansir pour rétablir l’ordre. A partir de cette date, le pouvoir du califat fatimide est exercé par les vizirs du sabre, au détriment du calife",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Bagdad capitale du califat abbasside,752,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
baptême de Clovis,508,Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Bataille d’Azincourt,"1415, les Armagnacs sont décimés",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
bataille d’Hastings,"1066, elle oppose l’anglo-saxon Harold et le duc de Normandie, Guillaume le conquérant",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Bataille de Bouvines,"1214, Philippe-Auguste bat les troupes de l’anglais Jean-Sans-Terre, du comte
de Flandres et d’Otton IV, empereur du SERG.",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Bataille de Crécy,1346,Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Bataille de la Karbala,"680, Husayn et ses proches sont massacrés par les Umeyyades, ce qui marque une rupture définitive entre chiites et sunnites. Chez les chiites, le martyre de l’imam Husayn, fils d’Ali est une fête religieuse très importante",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Bataille de Siffin,"657, contexte de la première fitna, qui oppose Ali à Mu’âwiya. Elle se termine par une trêve inacceptable pour une partie des troupes d’Ali qui fondront les kharijites",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Bataille de Tall Danith,"1119, les émirs de Damas et d’Alep battent les croisés. Peu d’impact militaire, mais énorme impact psychologique, les émirs musulmans prennent conscience qu’unis, ils peuvent vaincre les Francs",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
bataille des mâts,"655, les musulmans vainquent les byzantins en mer, signant la fin de l’hégémonie romaine (unifiée puis divisée)",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
