content;start;end;details;groupname
“chute” de l’empire romain d’Occident;476;;Romulus Augustule capitule devant Odoacre. Souvent utilisé pour borner le début du Moyen Âge.;Europe médiévale
Al-Aghlab émir d'Ifriqyia;800;;al-Aghlab et ses descendants sont reconnus par le calife comme gouverneurs héréditaires de l’Ifriqyia. Ainsi, cette zone sert de tampon entre le Maghreb agité et le centre du califat;Islam médiéval
Alaric pille Rome;410;;;Europe médiévale
appel à la croisade par Urbain II;1095;;;Europe médiévale
avènement d’Hugues Capet;987;;;Europe médiévale
Badr al-Jamali en Egypte;1070;;appelé par Al Mustansir pour rétablir l’ordre. A partir de cette date, le pouvoir du califat fatimide est exercé par les vizirs du sabre, au détriment du calife;Islam médiéval
Bagdad capitale du califat abbasside;752;;;Islam médiéval
baptême de Clovis;508;;;Europe médiévale
Bataille d’Azincourt;1415;;les Armagnacs sont décimés;Europe médiévale
bataille d’Hastings;1066;;elle oppose l’anglo-saxon Harold et le duc de Normandie, Guillaume le conquérant;Europe médiévale
Bataille de Bouvines;1214;;"Philippe-Auguste bat les troupes de l’anglais Jean-Sans-Terre, du comte
de Flandres et d’Otton IV, empereur du SERG.";Europe médiévale
Bataille de Crécy;1346;;;Europe médiévale
Bataille de la Karbala;680;;Husayn et ses proches sont massacrés par les Umeyyades, ce qui marque une rupture définitive entre chiites et sunnites. Chez les chiites, le martyre de l’imam Husayn, fils d’Ali est une fête religieuse très importante;Islam médiéval
Bataille de Siffin;657;;contexte de la première fitna, qui oppose Ali à Mu’âwiya. Elle se termine par une trêve inacceptable pour une partie des troupes d’Ali qui fondront les kharijites;Islam médiéval
Bataille de Tall Danith;1119;;les émirs de Damas et d’Alep battent les croisés. Peu d’impact militaire, mais énorme impact psychologique, les émirs musulmans prennent conscience qu’unis, ils peuvent vaincre les Francs;Islam médiéval
bataille des mâts;655;;les musulmans vainquent les byzantins en mer, signant la fin de l’hégémonie romaine (unifiée puis divisée);Islam médiéval
Bataille du Talas;751;;bien que victorieuse face à l’empire chinois, l’armée musulmane arrête son expansion en Orient à la suite de cette bataille;Islam médiéval
bréviaire d’Alaric;506;;des lois barbares sont mises par écrit, cela traduit l’influence du droit romain;Europe médiévale
Califat abbasside;750;1258;;Islam médiéval
califat almohade;1130;1226;;Islam médiéval
Califat fatimide;910;1171;;Islam médiéval
Califat omeyyade;661;750;;Islam médiéval
Califat omeyyade de Cordoue;926;1031;;Islam médiéval
capitulaire de Quierzy;877;;la charge comtale devient héréditaire et le souverain ne fait que confirmer l’attribution du titre;Europe médiévale
Charlemagne sacré empereur;800;;;Europe médiévale
Charles le Simple octroie la Normandie à Rolon;911;;;Europe médiévale
Charles Martel arrête le progrès des incursions musulmanes à Poitiers;732;;;Islam médiéval
Charles Martel repousse les Musulmans à Poitiers;732;;;Europe médiévale
Chute de Saint-Jean d’Acre;1284;;dernier bastion franc en Terre Sainte;Europe médiévale
Concile de Latran IV;1215;;raffermit l’emprise de la papauté sur les laïcs : le mariage devient un sacrement, la pratique de l’eucharistie est renforcée, obligation de dénoncer les hérétiques, la condition des juifs se durcit…;Europe médiévale
concile de Nicée;325;; théorise la doctrine chrétienne autour de la Trinité;Europe médiévale
Concordat de Worms;1122;;fin du conflit entre pape et empereur suite aux réformes grégoriennes;Europe médiévale
concordat de Worms;1122;;fin au conflit entre le pape et l’empereur suite aux réformes grégoriennes;Europe médiévale
Conquête de la Mésopotamie ;637;;la Mésopotamie (qui devient l’Irak) et la Djazirah sont conquis par les musulmans au détriment de l’empire sassanide;Islam médiéval
Constitutions de Melfi ;1231;;: Frédéric II promulgue les constitutions de Melfi, des lois placées sous le droit romain qui font du crime de lèse-majesté l’équivalent d’une hérésie : s’attaquer à l’empereur, c’est s’attaquer à Dieu;Europe médiévale
Deuxième croisade;1146;1149;elle se solde par une victoire politique pour Nur ad-Din, dont l’armée a fait reculer les croisés sans qu’ils ne parviennent à reprendre le moindre territoire du comté d’Edesse;Islam médiéval
Dictatus Papae;1075;;Grégoire VII raffermit grandement le pouvoir du pape qui est à présent un monarque. Déclenche la Querelle des Investitures;Europe médiévale
Edit de Milan;313;;"""autorise"" le christianisme. En réalité, ce n'est pas une légalisation officielle mais une dépénalisation dans un territoire restreint";Europe médiévale
Emirat almoravide;1048;1147;;Islam médiéval
Emirs de émirs chez les Abbassides;936;;;Islam médiéval
fin du califat fatimide;1171;;vidé de sa substance religieuse par Saladin, alors que la réalité du pouvoir politique était déjà exercé par les vizirs;Islam médiéval
fin du règne de Charles le Gros;888;;dernier souverain carolingien à la tête de l’ensemble des royaumes carolingiens;Europe médiévale
Fitna dans Al-Andalous;1009;;;Islam médiéval
Grande Jacquerie;1358;;;Europe médiévale
Grandes famines;1315;1318;;Europe médiévale
Guerre de Cent Ans;1337;1453;série de conflits entrecoupés qui ont opposé les monarchies françaises et anglaises. Bornes chronologiques conventionnelles choisies au XIXe, de la revendication de la couronne de France par Edouard III à la bataille de Castillon;Europe médiévale
Hattin;1187;;Saladin défait les francs du royaume latin de Jérusalem à Hattin, Jérusalem tombe peu après;Islam médiéval
Hégire;622;;Muhammad et sa communauté quittent la Mecque pour Médine. Point de départ du calendrier musulman. Début du conflit entre les musulmans et les Qurayshites;Islam médiéval
Proclamation de l'émirat omeyyade d’Espagne;756;; Proclamé par Abd al-Raman Ier, unique survivant omeyyade. Il est officiellement soumis aux Abbassides;Islam médiéval
l’ensemble de la péninsule ibérique est conquise, sauf le royaume des Asturies;720;;;Islam médiéval
L’exarchat de Carthage chute face aux musulmans;698;;fin de la présence de l’empire byzantin en Afrique du Nord;Islam médiéval
La principauté samanide du califat abbasside s’effondre;999;;avènement des Ghaznévides;Islam médiéval
Las Navas de Tolosa;1212;; l’armée chrétienne unifiée écrase les Almohades à las Navas de Tolosa. C’est une bascule pour le califat;Islam médiéval
Domination Bouyide;950;1050;Les Bouyides dominent la politique abbasside (dates approximative);Islam médiéval
les émirs des taifas alliés aux Almoravides stoppent la Reconquista;1086;;;Islam médiéval
Les Fatimides conquièrent l'Egypte;969;;;Islam médiéval
les musulmans achèvent la conquête de l’empire sassanide;651;;mais le territoire restera perclus de révoltes sous les Omeyyades;Islam médiéval
Les musulmans reprennent Jérusalem;1187;;;Europe médiévale
Les Qarmates pillent la Mecque;930;;;Islam médiéval
les Seldjoukides s’emparent de Bagdad;1055;;;Islam médiéval
Manzikert;1071;;grave défaite de l’empire byzantin face aux Seljoukides, qui acte son déclin;Islam médiéval
mort de Childéric 1er;481;;c’était le premier roi mérovingien attesté, père de Clovis 1er;Europe médiévale
Mort de Frédéric II;1250;;"fin de la dynastie Hohenstaufen, l’Empire se vide de sa substance politique jusqu’à la fin du MA. Son ennemi politique, l’Eglise, emporte le duel";Europe médiévale
Mort de Malikshah, dernier grand sultan seldjoukide;1092;;fin des conquêtes seldjoukides et de l'unité territoriale, les émirats vont peu à peu s'émanciper du pouvoir central;Islam médiéval
mort de Muhammad;0632-08-06;;il meurt après une courte maladie. Il n’a pas de successeur désigné ni d’héritier mâle direct. Sa personne fait l’objet d’un culte d’intensité croissante à partir de cette date;Islam médiéval
mort du calife omeyyade Hakam II;976;;à partir de laquelle le califat omeyyade de Cordoue décline;Islam médiéval
